Indicator,Data,Notes
sha256,d86790104f59b89edbdb1478f320d4589155d465d4710bcb57ff015383eefb38,C:\Windows\Vss\Writers\Application\libcef.dll
sha256,2892aa48e12e72ba25c4caa9471b41ce316624ff98ed79f56e3c6b3a51026504,C:\Windows\Vss\Writers\libcef.dll
file_path_name,C:\Windows\Vss\Writers\log.bin,
sha256,2b7602cc1521101d116995e3e2ddfe0943349806378a0d40add81ba64e359b6c,C:\PerfLogs\vcruntime140.dll
sha256,c6e1bf2b7ac0fd3c34761099d2ec17fccd0604e2e62e94f297943260d15368ce,C:\PerfLogs\jli.dll
file_path_name,C:\Windows\Temp\temp.log, (Shellcode loader)
sha256,b32de9f4f2a9bd08063c72fa84d5d44be5a3bf7859bfb6ceaf093cd03ff0240f,C:\PerfLogs\pt.exe (unsigned executable with certificate stating that it is MS Edge)
sha256,f30b04a9ebc95c50fdc116260068d4d8da8005104b6366c29d0f24dbbf798957,C:\Users\Public\r2.exe (Unknown threat file)
sha256,c36173f28bfd99db86533d5fdb0ce4dd565488ca56d4b9df1997ee9201b3b704,"C:\Users\Public\chrome.exe (Shellcode loader, WIN-PROT-VDL-MALWARE-ATK-SCLOAD-Q)"
sha256,fbe0851792629f86b1d5a599a6bc29d82b3248462bebd8e47ee698e4f510308f,C:\PerfLogs\msedge_elf.dll
ip,178.128.221.202,mios.exe C2
domain,gsenergyspeedtest.com,Cobalt Strike C2
ip,192.142.18.15,Interacted with webshell (VPN subnet)
ip,192.142.18.27,Interacted with webshell (VPN subnet)
ip,192.142.18.25,Dropped webshell (VPN subnet)
domain,hpupdate.net,Havoc C2 
url,https://www.hpupdate.net/us-en/drivers/printers,Havoc C2 URI
ip,45.15.143.151,Havoc C2
ip,198.244.237.13,Havoc C2 payload host
ip,123.253.35.100,swprv.dll C2
domain,cancelle.net,swprv.dll C2
domain,dmsz.org,swprv.dll C2
domain,gandeste.net,swprv.dll C2
ip,103.56.5.224,swprv.dll C2
ip,49.157.28.114,swprv.dll C2
ip,103.56.5.224,swprv.dll C2
ip,141.136.44.219,Havoc C2
ip,145.14.158.235,Havoc C2
ip,107.148.41.114,Havoc C2 
ip,66.42.56.233,Havoc C2 / XiebroC2
domain,test1.zhangliyong.cn,Havoc C2 / XiebroC2
ip,191.96.53.132,Havoc C2 / XiebroC2
ip,45.9.191.183,Havoc C2 / XiebroC2
ip,64.176.50.42,Havoc C2 / XiebroC2
ip,191.96.53.132,Havoc C2
ip,45.77.46.245,Havoc C2
ip,"64.176.37.107
	",Havoc C2
